,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
149,13,6,HimachalPradesh,MS12,MS12,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
150,13,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
151,13,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
152,13,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
153,13,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
154,14,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
155,14,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
156,14,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
157,14,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
158,14,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
159,14,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
160,14,6,HimachalPradesh,MS12,MS12,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
161,14,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
162,14,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
163,14,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
164,14,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
165,15,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
166,15,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
167,15,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
168,15,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
